TMPEN ,R202M7  ,12/07/2017,17/08/2017,ZAR,00005000000.0000,RMB2  ,              ,00011878099.50,S,002.548510
TMPEN ,R2032   ,03/08/2017,17/08/2017,ZAR,00005000000.0000,RMB2  ,              ,00004704507.50,P,009.398030
TMPEN ,R2035   ,25/07/2017,10/08/2017,ZAR,00005000000.0000,NBMN  ,              ,00004919232.00,P,009.530419
TMPEN ,R2035   ,07/08/2017,10/08/2017,ZAR,00005000000.0000,NBMN  ,              ,00004875213.00,S,009.640000
TMPEN ,R2035   ,07/08/2017,24/08/2017,ZAR,00005000000.0000,NBMN  ,              ,00004667488.00,P,009.649390
TMPEN ,R2044   ,25/07/2017,10/08/2017,ZAR,00010000000.0000,NBMN  ,              ,00009045399.00,P,009.790160
TMPEN ,R2044   ,07/08/2017,10/08/2017,ZAR,00010000000.0000,NBMN  ,              ,00008951600.00,S,009.900000
TMPEN ,R2044   ,07/08/2017,24/08/2017,ZAR,00010000000.0000,NBMN  ,              ,00008977006.00,P,009.908940
TMPEN ,R210M7  ,10/07/2017,17/08/2017,ZAR,00054000000.0000,RMB2  ,              ,00100266049.80,P,002.458280
TMPEN ,R212M7  ,10/07/2017,17/08/2017,ZAR,00114000000.0000,RMB2  ,              ,00168947247.60,P,002.486299
TMPEN ,TN25    ,31/07/2017,17/08/2017,ZAR,00025000000.0000,INVG  ,              ,00023704825.00,P,010.461799
TMPSB2,I2033M7 ,10/07/2017,17/08/2017,ZAR,00016000000.0000,RMB2  ,              ,00016626944.00,P,002.548370
TMPSB2,R202M7  ,31/07/2017,10/08/2017,ZAR,00045253000.0000,SASY  ,              ,00107254185.08,P,002.557860
TMPSB2,R202M7  ,07/08/2017,10/08/2017,ZAR,00045253000.0000,SASY  ,              ,00107768317.99,S,002.520000
TMPSB2,R202M7  ,10/07/2017,16/08/2017,ZAR,00017878000.0000,RMB2  ,              ,00042472094.18,P,002.547070
TMPSB3,I2033M7 ,10/07/2017,17/08/2017,ZAR,00010000000.0000,RMB2  ,              ,00010391840.00,P,002.548370
TMPSB3,R197M7  ,10/07/2017,16/08/2017,ZAR,00054721000.0000,RMB2  ,              ,00161479624.44,P,002.495920
UNIBND,DV24    ,08/08/2017,18/08/2017,ZAR,                ,ZZINT ,              ,00000024004.99,I,
UNIBND,DV29    ,08/08/2017,18/08/2017,ZAR,                ,ZZINT ,              ,00000076232.12,I,
UNIBND,LGL04   ,04/08/2017,14/08/2017,ZAR,                ,ZZINT ,              ,00000000904.13,I,
UNIBND,MMIG05  ,02/08/2017,12/08/2017,ZAR,                ,ZZINT ,              ,00000045915.86,I,
UNIBND,NBK16A  ,07/08/2017,12/08/2017,ZAR,                ,ZZINT ,              ,00000034493.76,I,
UNIBND,R2044   ,07/08/2017,11/08/2017,ZAR,00008036150.0000,SCMX  ,              ,00007195528.53,S,009.900000
UNIBND,R2048   ,07/08/2017,11/08/2017,ZAR,00008036150.0000,SCMX  ,              ,00007491804.50,P,009.860000
UNIBND,SLI3    ,05/08/2017,15/08/2017,ZAR,                ,ZZINT ,              ,00000007601.36,I,
