,,,,,,,Detailed Daily MTM - Extract,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade date,19 Jul 17,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement,24 Jul 17,,,,,,,,,,,,,,,,,,,,,,,,,
Bond Code,ISIN Code,Maturity ,Coupon,Companion Bond,BP Spread,MTM,All in price,Clean Price,Accrued Interest,Year High Yield,Year Low Yield,Return (YTD),Duration,Modified Duration,Delta,Rand per Basis Point,Convexity,Yield Volatility,Yield / Price Indicator,Last Trade Date,Last MTM Change Date,Index Ratio,Base CPI,Reference CPI,MTM Process Methodology,MTM Change
ABSI2,ZAG000074378,07-Dec-23,5.5,R197,125,3.840,273.52437,271.7634,1.76097,3.84,3.29,0.14,5.4736869,5.370571895,-14.68982290,1468.98229043,34.3724088,,Price,30-Jun-17,17-Mar-16,2.486471977,41.17247027,102.3741935,Inflation Linked Methodology,
ABSI4,ZAG000084807,31-Jan-22,2.75,R212,50,3.100,143.91981,143.99688,-0.07707,3.11,2.5,0.18,4.2806148,4.215277951,-6.06661962,606.66196176,20.4515274,,Rate,25-Apr-17,12-Jul-17,1.461384213,70.05289411,102.3741935,Inflation Linked Methodology,
ACL047,ZAG000060443,22-Oct-18,0,,,0.000,90.18251785,90.18251785,0,0,0,0,,0,,,,,Price,04-Jul-17,29-Jun-15,,,,Issuer Valuated,
ACL082,ZAG000081001,30-Jul-17,10.017,JIBAR,265,0.000,99.80875,100.00085,-0.1921,0,0,0,,0,,,,,Price,09-Jul-14,17-Jul-17,,,,Price Traded Methodology,
ACL083,ZAG000081126,30-Jul-17,10.017,JIBAR,265,0.000,99.80875,100.00085,-0.1921,0,0,0,,0,,,,,Price,30-Sep-10,17-Jul-17,,,,Price Traded Methodology,
ACL084,ZAG000081118,30-Jul-17,10.067,JIBAR,270,0.000,99.80779,100.00085,-0.19306,0,0,0,,0,,,,,Price,30-Sep-10,17-Jul-17,,,,Price Traded Methodology,
ACL086,ZAG000081258,30-Jul-17,10.067,JIBAR,270,0.000,99.80779,100.00085,-0.19306,0,0,0,,0,,,,,Price,09-Jul-14,17-Jul-17,,,,Price Traded Methodology,
ACL087,ZAG000081266,30-Jul-17,9.967,JIBAR,260,0.000,99.8097,100.00084,-0.19114,0,0,0,,0,,,,,Price,09-Jul-14,17-Jul-17,,,,Price Traded Methodology,
ACL095,ZAG000081837,20-Dec-18,9.617,JIBAR,230,0.000,100.905066,100.0092359,0.895830137,100,100,0,,0,,,,,Price,28-Oct-10,17-Jul-17,,,,Price Traded Methodology,
ACL096,ZAG000081852,20-Jun-20,9.867,JIBAR,255,0.000,100.9277064,100.0085886,0.919117808,100,100,0,,0,,,,,Price,01-Jul-13,17-Jul-17,,,,Price Traded Methodology,
